,emotion,text
2387,joy,"I wanted to go out to walk but I didn't know either where or  
with whom, suddenly an invitation appeared."
2394,joy,"I felt a great joy when I knew that my father was going to sell  
the apartment from GUARUSA, because in some way we were helded by  
it, that means that we didn't go to any other place, because we  
had the apartment."
2401,joy,"When I discovered that I and my friend would be licensed at the  
first call. This emotion was accompanied by a great relief. It  
was the coronation of a year of sacrifice and extrene discipline."
2408,joy,I felt joy when I entered at the University.
2415,joy,"A meeting with the family and the friends I felt dear and loved,  
sharing the gladness of being together at a birthday."
2422,joy,"After making an effort to enter at University I found a course  
and a school of higher education which were compatible with my  
experience and potentiality."
2429,joy,"I felt joy when I passed the worst phase in my life and  
discovered how many people considered me important to them."
2436,joy,"I didn't like my former fob and felt joy when I received a  
telegram offering me a new one that I though better and for which  
I had been waiting."
2443,joy,"The day that my boyfriend appeared at home with a pair of rings  
for our wedding."
2450,joy,When people remember us and shows interest about what we do.
2457,joy,"I felt glad to live again when I went to a meeting about the  
""Knowledge"". There are 4 techniques of meditation that connect  
you with the essence of the human being."
2464,joy,When I bought my car.
2471,joy,The birth of my daughter.
2478,joy,"I found a human ""treasure"" that I desired and got immediately. I  
didn't think about anything. When I touched him I imploded but I  
am whole."
2485,joy,"One of the greatest joiy was when I succeded in acquiring a  
motorcycle through my own efforts."
2492,joy,"When I got a stereo walkman from my father when he had finacial  
difficulties. I thought that although he promised to give me that  
present, he was not obliged to do so."
2499,joy,"When I passed the whole weekend with my boyfriend, coming back  
home on Sunday afternoon he met my parents for the first time."
2506,joy,"I was in the living room at home with an ex-boyfriend, it was  
nearly a year that we had separated, during the talk he began to  
remember our courting and gave me a long kiss."
2513,joy,Always when I meet the person I love.
2520,joy,When I entered in the University after a year of struggles.
2527,joy,"A friend of mine travelled very far. I miss her but feel joy too  
because fer life is taking the right direction as she wants. So I  
feel joy for her mainly."
2530,joy,When I met my mother after months of absence.
2537,joy,I got a present from a great friend (a dog).
2544,joy,When I can see my parents because now I am far from them.
2551,joy,When I was admitted to the Bulgarian State Conservatoire.
2558,joy,I have a new born child.
2566,joy,"I felt joy most strongly some years ago, when I took part in a  
NH Competition and I was the first."
2573,joy,"When my nephew was born. The birth was hard, it was a big baby."
2580,joy,"Some time ago I was present at the wedding party of two close  
friends of mine."
2587,joy,"An encounter with a man whom I love, after a very long  
separation."
2594,joy,"At a success of mine, at a real achievement."
2598,joy,For the first time in my life telling someone I loved them.
2605,joy,"When I met my boyfriend and we discovered that we shared the same  
ideals and goals in life, and that we could share all our  
feelings and thoughts and felt that the world's not so bad when  
you have someone really close to share your life with."
2608,joy,When I passed the driving test after three failures.
2615,joy,For instance when a girl is interested in me and likes me.
2620,joy,"I sensed this feeling when I passed successfully the second tour  
of a competition."
2627,joy,"I was happy when at difficult times I could find support in my  
friend and my fiancT, I was happy because of their spiritual and  
moral help which gave me new power to struggle. I was happy then,  
I felt it in my soul."
2634,joy,"That was what I felt when I was finally accepted in the Bulgarian  
Conservatorie after I had applied a couple of years."
2641,joy,My boyfriend made me a proposal.
2648,joy,"When I heard what mark I had got at the entrance examination and  
I realized my admittance to the University was almost certain."
2650,joy,"When I was admitted to a Language school. On the day when I was  
informed by a message and my parents congratulated me."
2657,joy,"When you are satisfied with something, when you achieve something  
you have striven to."
2666,joy,Having passed an exam.
2673,joy,"I'm glad when I have good relations with my colleagues and most  
of all when we are at a party."
2680,joy,"I experienced it when I was accepted at the Medical Higher  
Institute."
2687,joy,After each successfully passed exam I am happy.
2694,joy,"After the term exams I happened to meet a person that I respect  
and of whom I think very highly. It was nice that although we see  
each other rarely he had not forgotten me."
2701,joy,"I experienced this feeling when I was accepted as a student.  
Because everything turned out different from my expectations.  
Although I passed the exam successfully I was accepted as a  
student only when I didn't expect it at all, namely at the  
beginning of September."
2708,joy,Spontaneous picnic with sister and friend and children - great.
2715,joy,"Meeting with two of my friends I had not seen for 15 years. They  
were special people to me."
2722,joy,"When we took out an 84 year old woman for the evening and had  
hamburgers. She described the evening out as her happiest night  
out in 20 years."
2729,joy,"I was seriously injured in a road accident. The very first steps  
I took with only one crutch to support me I felt so good. I enjoy  
being alive."
2736,joy,"When I found out that a set task (i.e. 2 essays and a test), the  
thought of which had oppressed me, were not on the date I had  
thought."
2741,joy,"When, for example, I was in my eleventh school year and I learned  
I had been classed for the Bulgarian Language and Literature  
National Olympiad."
2748,joy,"Some time ago a close relative of mine got off cheap with the  
worst."
2755,joy,"Realizing one's desire, an experienced feeling of satisfaction  
from the realization of one's desires and aims."
2762,joy,I won a sport contest.
2769,joy,When my son was born.
2776,joy,Meeting a loved man.
2783,joy,"I sensed such a feeling when I understood I was admitted to the  
University. I was at home, the atmosphere was still, though I  
myself was full of suspense. I tried to do different things. When  
the telephone rang and...! Yes, of course there were other  
situations when I felt a similar feeling but I was unmindful of  
them."
2790,joy,When I was admitted to the University.
2797,joy,When I understood that I was admitted to the University.
2804,joy,"A quarrel was followed by the decision of leaving a person close  
to me. Several days later my regret was great. I was beside  
myself. Quite unexpectedly he came and the conflict was calmly  
solved. I was glad at the possibility to be with him."
2811,joy,When I understood I was admitted to the Sofia University.
2818,joy,"I am a sportwoman as well. I felt joy when after an year of  
practice, at a contest, I covered the norms for ""a master of sports""."
2825,joy,When I was admitted to the University.
2832,joy,When my affairs with the girl I love settled positively.
2839,joy,"I passed successfully the preliminary exam for a participation in  
the children Assembly."
2846,joy,Bulgaria won a football match against France.
2853,joy,I felt joy when my two twin sisters were born.
2860,joy,"The period when I was pregnant and when I gave birth to my son.  
I can say those were the happiest months in my life."
2867,joy,"I felt joy when I saw my daughter after a separation of twenty  
days."
2876,joy,When I was admitted to the University.
2883,joy,"The day when my son said for the first time ""mummy""."
2890,joy,"The sense of joy comes to me always after a period of depression,  
as an organic feeling for an upsurge. I don't exclude the  
situative feeling but in this case the reason is not in me, it's  
out of me."
2897,joy,My son was born.
2904,joy,"After 10 days of hard work and having suffered many changes I  
passed my last exam."
2911,joy,"When I am with friends and I do what pleases me this often  
happenes."
2918,joy,"I was happy when I understood that the girl I liked was in love  
with me."
2925,joy,When I met with friends that I hadn't seen for a long time.
2932,joy,"Six months ago when I got acquaintanced with a person whom I  
trusted infinitely and from whom I expected help and friendly  
feelings. With him I found much in common - in our views and in  
our fate."
2939,joy,When I was accepted as a student.
2946,joy,"I felt it when on duty in the hospital I understood that I was  
not afraid to face death, that I also helped a little to relieve  
the pains of a patient."
2953,joy,When I knew that my husband and I were going to have a child.
2960,joy,"I was very happy when I got the message that I had been accepted  
as a student in medicine."
2967,joy,"When I learned that my parents were going abroad and leaving me  
alone for a few years."
2972,joy,"When I was admitted to the Institute. I had problems with many  
people about my applying for this institute and I decided to  
prove that one can pass excellently without visiting any  
preparatory couse. That is - I proved what I could do on my own."
2979,joy,"When I learned I was admitted to study what I wanted most -  
floriculture (this is a narrow specialization from the general  
one)."
2986,joy,"I was very glad when I learned I was a student already. I heard  
about it over the phone, I didn't believe it at first."
2993,joy,"I felt glad when I took the rather difficult organic chemistry  
examination."
3000,joy,"I sensed a strong feeling of joy when in the plant, at my working  
place, I got a message that I was admitted as full time student at  
the Higher Agricultural Institute."
3007,joy,"After a difficult exam. When I had not hoped to take it and had  
got a high mark. When you present someone with something and he  
feels glad."
3014,joy,"I was sitting for an exam in biochemistry, I was very excited  
because it was a supplementary examination. I passed the exam  
very well and was glad because I recovered my selfconfidence."
3021,joy,"When I succeded in establishing a contact with a girl (who is now  
my girlfriend)."
3028,joy,"I feel joy usually after each taken exam, the last one was in  
February."
3035,joy,When I was admitted to the Higher Institute.
3042,joy,"I felt joy when I was admitted to the Higher Agricultural  
Institute."
3049,joy,"I was for the first time on a brigade this year. At that time my  
sister was to bear a child. I was mad with joy when I opened the  
telegram from my parents and learned I had a nephew."
3056,joy,"Naturally when I got myself discharged this was my second  
birthday."
3063,joy,"I felt the greatest burst of joy when after being heavily ill for  
a long period, my father came back home."
3070,joy,"When I got a message that I was employed as a nurse at a  
kindergarten."
3077,joy,"Being invited out by a person I wished to get closer to. He  
telephoned and invited me to go out with him the next night."
3084,joy,"Achievement of a task by a friend who had begun a new job. She  
wasn't confident of handling the situation so was thinking  of  
leaving the job only after 2 days employment."
3091,joy,"Felt joy a few years ago when I was away on holiday. And sat very  
close to my best friend looking straight into the eyes."
3098,joy,"When I meet old past pupils of mine - and find they are all doing  
well - I feel joy. Yesterday I met a young woman (20 yrs) I'd  
taught her at 6 yrs, then at 12 yrs and hadn't seen her for last  
3-4 yrs; she was no longer a waitress but a meter maid for  
Council."
3105,joy,My 3 children - each top his class in the final exams 1984.
3112,joy,When my daughter was born.
3119,joy,"Being reunited with my family after not having seen them for 5  
years, at the airport. Sheer elation at getting through the  
""paper work"" collecting bags and the anticipation of coming  
through the customs gate."
3129,joy,"My mother along with some of my friends gave me a surprise  
birthday party - they invited a large number of my friends along  
too."
3136,joy,"Passing my pharmacy exams which meant my tertiary education for  
pharmacy completed."
3143,joy,"Joy for me is when all my family gather around home for special  
occasions as Christmas etc. It really gives me joy to see my  
family and relatives and to observe natures productivity process  
which have been going on for centuries."
3150,joy,"Letting Jesus take control of my emotions i.e., ill feeling."
3157,joy,"My cousin asked me to be a bridesmaid for her. This made really  
happy because I was adopted into the family and her asking me  
made me realise that she saw me as a cousin and not just another  
person. There were other cousins she could have asked but she  
asked me."
3164,joy,Joy at meeting a woman I love very much.
3171,joy,"When my lover and I felt like we had gone full circle. And our  
relationship was new, fresh, vital etc. once again."
3178,joy,"A good friend, the wife of the vicar of my church came up to me  
from the pews (I am in the choir) and shook my hand during the  
time for an informal ""greeting"" in the church service. She said a  
few words."
3185,joy,"My friend replying to my letter and again saying he was attracted  
to me and suggesting we write, talk and get together and see how  
things went and his suggestion that I could ring and doing that it  
was really good - though really insane conversation."
3194,joy,"Girlfriend arriving back from overseas and picking her up from  
airport. When she finally appeared from customs and we came in  
contact again."
3201,joy,"The feeling of joy when again I had confessed my sin and  
experienced God's forgiving grace and cleansing power - total  
enlightenment and freedome - bliss."
3208,joy,"First time I slept with my present girlfriend. Had been best  
friends for a year but had been hesitant about getting involved  
emotionally."
3215,joy,"Hearing that I had been successful in getting a position whereby  
my financial, physical, spiritual and emotional needs will be  
well catered for. This position fulfils a lot of my aims for the  
last five years of my life."
3222,joy,Hearing Fran Wilde introduce the Bill.
3229,joy,Won a prize for effort.
3236,joy,"I was feeling really low - had been a series of fights with my  
siblings, been under pressure at school and wasn't going to the  
party I wanted to go - instead I was going out with my family. A  
guy called and said, in effect, that I was ""nice"" and he liked  
me. Hence the emotional joy."
3243,joy,"Winning a rowing race at a Karapiro regatta. With 7 other  
friends."
3250,joy,"When I won a position on the track-team for the trans-tasman  
games when I was eleven."
3257,joy,Easter holiday - I had been working weekends and had just left.
3264,joy,"Getting my kitten, found at work several years ago, taking him  
home in a box on my motorbike, showing it to my defacto."
3271,joy,"When I was finally able to return to a job that I enjoyed doing  
after several months absence (I was not needed during this time)."
3278,joy,"At my wedding - standing with the man I love and acknowledging  
that fact to members of family and friends."
3285,joy,Waking in morning (early morning) and having whole day to myself.
3292,joy,When my first niece was born.
3299,joy,"When I went to the pub with a large group of friends, we drank  
and danced."
3306,joy,Birth of children.
3313,joy,Thought had discovered true love.
3320,joy,"Receiving understanding from within self of a subject I had  
previously wished to understand better."
3327,joy,"Meeting best friend at the airport (boyfriend) who I had missed  
terribly."
3334,joy,"I was very pleased and happy when my older sister came home from  
living somewhere out of town and I hadn't seen her for months. We  
are very close sisters."
3341,joy,"When my brother who has been out of New Zealand for 10 years came  
to visit with his wife which none of our family had previously  
met."
3348,joy,"When my former boyfriend and I reconciled and he decided that I  
was very important to him. I had always wanted us to get back  
together again, but had doubted the likelihood of this, so I was  
very happy when my small amount of faith was vindicated."
3355,joy,"I did a solo flight from Ardmore to Kaikohe before I got my pilot  
licence. I can remember it was gorgeous day and I was on a  
natural high, cruising up the coast with my maps and compasses  
and gear. Other pilots had seen me off and wished me good luck  
and it was a real adventure."
3362,joy,"A holiday at a whitesand deserted beach. A cool evening near the  
end of summer and we had a fire in the sand - toasted  
marshmellows, cuddled and drank champagne."
3369,joy,"Winning a race that I had been training for, for many weeks.  
(Running Race)."
3376,joy,"Listening to the opening bars of Tchaikovsdy's symphony No.2  
fourth movement at my sister's wedding."
3383,joy,"Seeing my sister after about 2 years of not seeing her. Only  
spent 1 hour or so before she was off overseas with her husband  
for 3 months."
3390,joy,Talking with someone I admire a lot.
3397,joy,"I was ""best man"" at my brother's wedding a year ago."
3404,joy,Hearing my girlfriend accept my offer of marriage.
3411,joy,When I found out I had passed all of my university exams.
3418,joy,"When I received my U.E. accredited as I was totally unexpecting  
it and I was so happy."
3425,joy,"I received an assignment back, and got an A+ grading."
3432,joy,"Getting University Entrance accredited and arriving home from  
boarding school on accrediting leave."
3439,joy,The birth of my first child.
3446,joy,"I was biking with my boyfriend, the sun shining after a long  
period of bad beather, afterwards we spent the evening and night  
together."
3453,joy,When passing the final examinations for social worker.
3460,joy,"A friend came to tell me that her father invited me to go on  
holiday with them in Benidorm otherwise I could not afford to go  
on holiday."
3466,joy,"At the moment when I heard the result of an examination and it  
proved that I succeeded the second year of my study."
3473,joy,"I can't give one description here. I often feel joyful when I  
have done things good in relation to other people especially when  
my friend says he loves me and I also tell him that I love him."
3480,joy,When my boyfriend came back after being away for 10 days.
3487,joy,"When I was making music together with my friend. It sounded very  
good and we were very satisfied."
3494,joy,"At an important moment in a volleyball game we made a point and  
by this we won a set from a much stronger competitor."
3503,joy,"When the Real Madrid team of basket ball qualified for the final  
of the Europe Cup at Athens."
3507,joy,The day I finished my military service.
3514,joy,When I won the first prize in a cross country race.
3521,joy,"When I passed the last exam, which I had doudts about."
3528,joy,"When I was back home after a long time, meeting beloved people  
and close friends."
3532,joy,"When on holiday in Greece I called my best friend, she told me  
she passed the examinations and that she had been admitted to the  
study for speech therapy."
3539,joy,"It appeared that I gave correct answers to all questions during  
an examination of personality while I thought I performed very  
badly. Even now, I don't know how I managed it."
3546,joy,"Unofficially I was informed about my results of the final  
examination of the secondary school. A teacher wrote them up for  
me. When I went outside, I started crying with joy."
3553,joy,"When the parents of my girlfriend gave permission to spend our  
holiday together."
3560,joy,When I passed the driving test (on the second try).
3567,joy,"When I started a relation with a girl, with whom I have fallen in  
love already some time ago."
3574,joy,"I felt very happy when I heard I had passed the examination to  
move up to the second year course."
3581,joy,"I liked to see off my aunt (from Zaire) to the airport. That  
appeared to be impossible because I had to go to school. For long  
time I wasn't sure if I could accompany her. Two days before the  
departure they told me I was allowed to miss school."
3588,joy,"When I had to undergo the final examination of secondary school,  
I lived together with a girlfriend. We both were afraid to fail,  
but it appeard that we both had passed."
3595,joy,Passing my driver's examination (after two failures).
3602,joy,"When a friend of mine had her period, while thinking she was  
pregnant."
3609,joy,"Spending the nitht with close friends, after being away (out of  
Nijmegen) for a while."
3616,joy,"A fellow player, quite unexpectedly, scores a goal, which means a  
draw."
3623,joy,"When my boyfriend once again told me that he loved me after a  
period in which he felt very depressive."
3633,joy,When I got a good grade for an exam in statistics.
3640,joy,I had a very pleasant conversation with one of my friends.
3647,joy,"This week I was phoned by an old friend with whom I lost contact  
a few years ago."
3655,joy,"I thought that someone was angry with me but, by hindsight, that  
didn't appear to be the case, he even liked me."
3662,joy,"A meeting and a conversation with a woman (somewhat elder than  
me) who considers me as her child (she also has one child of her  
own). Last two years I lived with her (no relationship)."
3669,joy,"When I passed the driving test already on the first try, although  
I felt more and more uncertain as the day came near."
3676,joy,"Passing an examination, although I felt sure I had failed."
3689,joy,The day I learnt that I had been admitted to the university.
3695,joy,"""Boy, you have been admitted to the medicine school and your  
uncle is coming back fron Canada next week,"" my father told me  
and it was a happy moment."
3702,joy,"I won the first prize at the science fair, the first of the kind  
at school and I was only in form II then.  "
3709,joy,"My 21st birthday celebration, when I cut the cake and received  
the presents."
3720,joy,A recurrent lovesickness.
3727,joy,When I passed a very important exam.
3734,joy,I went to visit friends and it was very companionable.
3741,joy,"Sitting alone in a quiet room concentrating on things happening  
around me which pleases me."
3748,joy,"My sister and brother in law returned from Sri Lanka where they  
adopted a child. I went to pick them up at the airport."
3755,joy,When I got my drivers licence.
3762,joy,"Every year during carnival I am very joyful I have an intense  
feeling of happiness then."
3769,joy,"When I came again in contact with a girl I liked very much. And  
most important she also liked me."
3775,joy,"When an old schoolfriend phoned me to arrange an appointment to  
talk about old memories. I hadn't seen him for 8 years."
3782,joy,"Occurs frequently. A recent experience: when going out with many  
friends, nice music, after the examinations, I felt so happy I  
could have embraced everybody."
3789,joy,"I fell over head and ears in love with someone who appeared to be  
in love with me. it made me so happy that I could hardly sleep  
and eat for one week."
3796,joy,I was called and invited to have a talk about a job I wanted to have.
3803,joy,When a friend of me came for an unexpected visit.
3810,joy,"After I saw my family and good friends back after staying one  
year in a foreign country. "
3817,joy,"When I go out with my friend with enough money and good sense to  
our favorite dancing."
3824,joy,"When I made the winning goal during a very important football  
game."
3831,joy,"When it appeared that I was not pregnant when I was several weeks  
overtime."
3840,joy,"I felt joy when I heard that I was accepted for the Free  
University in Driebergen."
3847,joy,"When my boyfriend and I went out for a dinner and subsequently  
went to his family. We had a very nice evening."
3854,joy,The day I heard that I passed the high school exam.
3861,joy,"When Christmas holiday started, I felt very joyful when I  
finished my last exam."
3868,joy,"My boyfriend was playing with my cat. He was playing games with her  
and telling nice things to her. "
3875,joy,"During my high school time I succeeded to play a concert of  
Mozart on the piano when I gave my first performance I succeeded  
to play it very well."
3882,joy,"When I saw a good friend again after not having seen her for a  
long time."
3889,joy,"When I went to visit a friend in the hospital. She had to undergo  
an operation for rupture. I was glad to hear that the operation  
succeeded and that she was relieved of her pain."
3896,joy,"When I got the positive result of my examination to achieve the  
Bachelor Degree in Plychology."
3903,joy,When the girl with whom I am in love smiles at me.
3910,joy,On my birthday when several good friends came to visit me.
3917,joy,"I felt joyful when my boyfriend met me at the station, while at  
first he had said that he would not do that."
3924,joy,"For a few days I felt very miserable, distressed and listless,  
with crying fits. When this was over I felt very happy, although  
there was no special reason."
3931,joy,"When my boyfriend and I experience something nice or when we have  
made a nice walk together."
3938,joy,"One night I had a very good conversation with two friends. I then  
realized how worthy they were for me and how happy I was to  
have them as friends."
3945,joy,"My boyfriend suffered form ill health for some months, this week  
the physician told him that he was restored to health."
3952,joy,"After the funeral of an acquaintance I felt very depressed. That  
feeling turned into joy when I heard that I had achieved a good  
grade for an examination."
3959,joy,"When I found out that the girl, with whom I was in love, loved me  
too."
3966,joy,"Once a week I work as a volunteer in a biologic garden. this work  
in the garden and the contact with other volunteers filled me  
with joy. They also gave me support after I failed passing my  
driver's test."
3968,joy,"When someone made me a compliment after an examination just at  
the moment I needed it. It was amicable, hearty and sincere."
3975,joy,"A few days ago, I hitch-hiked to Arnhems with a friend.  
Everything went well: they picked us up very quickly, the sun was  
shining, I was feeling free and, for the first time after long  
time, happy. I really had the feeling that I was living at full  
speed."
3982,joy,"A close relative of mine underwent a difficult operation, and everything  
turned out fine."
3989,joy,When they told me that I had got a study grant.
3992,joy,When my father was saved from a severe work accident.
3999,joy,"When I got to know that I had passed the university entrance  
exam.  I thought that I had done one of the exams badly."
4006,joy,"The day some friends of mine and I decided to go to Galicia on  
holiday."
4013,joy,"A friend of mine told me that I had passed the entrance exam to  
the university."
4020,joy,When my brother was born.
4027,joy,"When I saw that I had passed the university entrance exam.  It  
made me forget all my problems."
4034,joy,"When I saw my 16 year old sister at home after having waited for  
her all night, not knowing where she was."
4041,joy,"After several days delay in my girlfriend's menstration I was  
very glad to see that the pregnancy test was negative."
4048,joy,"The day the Real Madrid team of basket ball qualified for the  
final at Athens."
4055,joy,When I passed an important exam.
4062,joy,When I passed an exam which I had failed last year.
4069,joy,"When I was told that I could take a week off and go for a trip  
with my friends."
4076,joy,"When I saw that I had passed an exam.  It was the last chance and  
there was a lot at stake."
4083,joy,"When I pass exams, or when a close friend of mine recovered  
from an illness,etc."
4090,joy,"When I met a very close friend of mine after one year of  
separation."
4097,joy,When my sister was born.
4104,joy,When my little sister was born.
4111,joy,When I passed an exam.
4118,joy,"I had not seen my brother for five years as he was not in Spain.    
When he arrived at the airport, I felt great joy."
4125,joy,"I got my driving licence after they had frightened me with it's  
difficulty."
4132,joy,"When I saw that the mark I had obtained in an exam was a good  
one."
4139,joy,"When I learned, after the ecography, that my mother was expecting a  
baby girl.  That was what I wanted."
4146,joy,"An invitation to spend 5 days at the seaside with all expenses  
paid."
4153,joy,When I passed the university entrance exam.
4160,joy,"My father had an operation which lasted for hours.  We were all  
very worried but it was successful."
4167,joy,"I was studying in the library and a class-mate told me that she  
had obtained a grant to work in the library."
4174,joy,The begining of my relations with my current girlfriend.
4181,joy,When I pass an exam.
4188,joy,"I thought that I was going to fail a subject and so I began to  
study for the final exam, then my friend told me that I had  
passed it.  That meant that I could go home, as I do not study in  
my hometown."
4195,joy,"I met a girlfriend again after not seeing her for several months.  
 I saw her in a discotheque.  We do not like discotheques but we  
went there because we knew we would meet there."
4202,joy,"A friend of mine suggested that I become a film extra.  The idea  
seemed very funny to me and my reaction seemed rather outlandish  
to the others."
4209,joy,"When they phoned me from Great-Britain to tell me that I could go  
there, if I wished, in Summer."
4216,joy,"When I passed my driving test, as it was the fifth time that I  
had taken this test."
4223,joy,When I passed the university entrance exam.
4230,joy,"I came across a friend with whom I had lost touch for a long  
time."
4237,joy,"At a party, on New Year's Eve, I met on old friend whom I had not  
seen for some time"
4244,joy,"Every time, in the last few days, when my girlfriend told me that  
she loves me."
4251,joy,A party I went to last Christmas.
4258,joy,When I knew the feelings of a beloved person.
4271,joy,"I was talking to a friend and he said something which was very  
funny."
4278,joy,"When I knew that there were, at last, no problems in making a  
journey that I had been wanting to make for a long time."
4285,joy,"When a study tour got confirmed, I was happy all the time till     
the tour began."
4292,joy,"When I received my report card in C.O.U.  I was afraid of obtaining  
low marks, but they were much higher than expected.  "
4299,joy,"When I fell crazily in love with a beautiful girl and she returned  
my love."
4306,joy,"When I came across an old friend whom I had not seen for a very  
long time."
4313,joy,"I received an unexpected letter from a friend I had met a short  
time before.  He sent me a poem and wished me good luck.  I felt  
very happy because I had great esteem for that person."
4320,joy,"When I received some good news : I obtained an amount of money I  
needed to buy something I had been planning to buy."
4327,joy,When I talk to my friends.
4334,joy,"[ Any situation in everyday life has this emotional sense, in  
class, in the street, at home, at the table..........]"
4341,joy,"One night, at a friend's place I realized that I had everything I  
most wished, around me."
4348,joy,"When they told me that I had been admitted to the faculty of  
medicine."
4355,joy,When I obtained good marks in a subject I had failed before.
4362,joy,"When I was told that they had got tickets for me for a film  
marathon I wanted to see."
4369,joy,The man I am going around with gave me a very special present.
4376,joy,"When I saw a friend of mine, whom I had not seen for a long time  
and I had lost his address and telephone number."
4383,joy,"I was spending the week-end with some friends.  We were waiting  
for another friend and we went to the meet him at the bus stop, a   
woman we met there told us that the coach had already left.  I  
was afraid that I would not see my friend, but at last we found  
him."
4390,joy,"I was on holidays, and I was going to meet a friend whom I had  
not seen for six months.  Again I felt very happy."
4397,joy,"My sister in law was about to have a child, and there were some  
problems.  They had to do a Caesarean.  After a while, everything   
was all right."
4404,joy,"Last course, when I passed with good marks three subjects which I had  
previously failed."
4411,joy,"One evening, I was with a group of friends having a talk.  There  
was a very trustful and joyful atmosphere."
4418,joy,"It was Saturday, my duties were over for a few hours and I could  
at last be with the people I wanted to see."
4425,joy,"I was going to my village, after having been rather oppressed in  
Madrid. "
4431,joy,"Last Summer I achieved someting that I had been wanting for a  
long time."
4437,joy,"When my brother was born, everything went all right.  It had been  
very likely that he would have a deficiency (my sister suffers  
from Down's Syndrome) and that my mother would be in danger."
4444,joy,"When I passed the university entrance exam.  I had thus finished  
with a difficult period of my life and I was about to begin one  
which I had desired a lot."
4451,joy,"On my birthday, when I was given my presents."
4458,joy,"The final marks were to be given in the morning.  I wanted to get  
there late because I was very afraid.  When I arrived there,  
everybody was very happy and I had also passed.  We had a  
wonderful time all day long."
4465,joy,"On holiday, seeing the lanscape in Gerona."
4472,joy,"When some friends of mine asked me to go camping with them for a  
fortnight."
4479,joy,"I phoned a friend of mine to ask her for news about the marks in  
an exam.  She told me that I had passed."
4486,joy,"I was told that I had passed the statistics exam.  I had not  
expected this so I was very happy."
4493,joy,"When I spoke to my daughter and wished her luck for the  
examinations she was about to take."
4500,joy,"When a cousin of mine was discharged from the hospital after        
a long illness.  I had thought that this illness would never end."
4507,joy,"After going through much shame, I became a Christian and  
something new happened in my heart.  Joy that overflows was  
manifest in me."
4514,joy,When I first passed a job interview.
4521,joy,When I heard that I had made it to the second year at UNZA.
4528,joy,"When I hooked a girl in Kitwe.  She was very beautiful for my  
standards, a rare bird of this kind accepted me as a boyfriend."
4535,joy,"When I was accepted for further education, here at the  
university."
4542,joy,When I got first division in the exams before leaving school.
4549,joy,When I had my four children.
4556,joy,"This happened when I went to check my first year results, I had   
thought that I would fail and I found that I had a clear pass in  
all my courses."
4563,joy,When I was told that I had passed the exams.
4570,joy,When I learnt that I was selected for form I.
4577,joy,When I passed the grade 7 exam.
4584,joy,The time I qualified to enter secondary school.
4591,joy,"I felt joy when I came to know Christ.  That is when I became a  
Christian."
4598,joy,"When my uncle gave me my first year's results.  I opened the  
envelope and my eyes ran into two ""B+"" - in EC110 and M160, this  
meant that I had qualified for a major in economics."
4605,joy,"This was when the girl I was in love with accepted my proposal  
and everything went smoothly, just as I had wanted it to.  It was  
contrary to my previous feelings of uncertainty about her  
response."
4612,joy,"I was in grade 7.  We had an inter-house volley-ball competition.  
 In Luapula I was the youngest member of the team and I scored   
the winning goal using my head.  I jumped up with joy and fell  
down."
4619,joy,"I was at school whhen I received a letter from the dean of my  
school congratulating me for my performance at the previous  
year's exam. "
4626,joy,My being admitted to UNZA.
4633,joy,My first kiss.
4640,joy,When I passed my form three exams.
4647,joy,"As the time to get the results drew near I became more and more  
anxious.  My friend called me and said, "" You have passed.""  My  
heart was full of joy."
4654,joy,"When I heard that a close relative of mine had given birth at a  
very young age, in a very remote area and had had very few problems."
4661,joy,"My girlfriend wrote to me telling me that she was four months  
pregnant and that I was responsible for the ""damages"".  This made  
me happy as I longed to have a child to call mine."
4668,joy,"When a girl I wanted very much, said ""yes"" and fell in love with   
me."
4675,joy,"I was very happy when I discovered that I had passed my first  
year examination and was among the thirty students who would  
major in economics."
4682,joy,When I was accepted at UNZA.
4689,joy,"I experienced joy when I got the results - I had made it to the  
second year."
4696,joy,When my first child was born.
4703,joy,I received a letter of acceptance from UNZA.
4710,joy,"When I was appointed by the Ministry of health to join the  
teaching staff of one of the medical colleges."
4717,joy,When I received my promotion letter.
4724,joy,"When I was accepted for my third year (G-10) at my former  
secondary school."
4731,joy,"When I heard that someone who is very close to me did very well  
in the exams despite having fooled around a lot."
4738,joy,"After a long time (of no communication with him, physical  
illness and worry) my lover came to see me, when I least expected  
to see him."
4745,joy,"My son was registered to get admission in grade one of the          
primary school.  The chances of him getting a place there was 1/10.   
Two weeks later I was informed that he had been enrolled."
4752,joy,When my father bought me a suit.
4759,joy,When I heard that I had achieved a place in form I.
4766,joy,When I saw my family after a separation of one year.
4773,joy,"When I fell in love with ""X"".  Overnight I felt confidence, self-esteem,     
responsible and worthwhile."
4780,joy,"The day I got a telegram telling me that I had been selected for  
a B.A at UNZA.  I felt happy because I had not expected to be  
selected."
4787,joy,"I was very happy when I received the year end results as I was  
worried about how well I had done.  I was very happy to know that I  
had passed."
4794,joy,"When I received a positive answer from my appeal to withdraw my  
registration at UNZA."
4801,joy,When I first came to the campus.
4808,joy,"When I got my results - I had passed the form III exams.  I had  
not expected to do so well."
4815,joy,When I was accepted at UNZA.
4822,joy,Receiving my result slip (pass) on my birthday.
