,emotion,text
1914,fear,"When at school, I threw a duster at another child and hit him in  
the head. The blow caused a flesh wound and I was afraid of what  
would happen to me when the teacher found out the circumstances."
1921,fear,"As a child (i.e. 5-7) hiking in reasonably rugged bush and  
becoming lost for a duration of 5-7 hours."
1928,fear,"Car accident. Travelling as a passenger along narrow bitumen road  
at night - trying to overtake semi-trailer. The truck pulled over  
onto our side and we hit the wet dirt, swerved back into the  
truck, back onto the verge, over a guide post and into a ditch."
1935,fear,Walking along with a dog barking at you and following you.
1942,fear,"I was in about Grade 7, I came home from school one day and was told  
that my mother had skin cancer and would have to go to the hospital  
straight away."
1949,fear,"When I was on holiday, walking back to where I was staying, at  
night, and two men started closely following me. There was nobody  
around that I could run to."
1956,fear,First day at University (I didn't know what to expect).
1963,fear,"Going to a disco by myself to wait for some friends. We had  
separated and hadn't planned where to meet. I wasn't sure if they  
were even going to this place so I felt very conscious of being  
alone."
1970,fear,"When cleaning up a pile of junk under our house, a huge spider (a  
""Jungle Spider"") ran out near me. (I do not like even small  
spiders)."
1977,fear,"A man was yelling outside my window at 3.00 am, yelling threats,  
though not to me."
1984,fear,"Walking around the University at night by myself, having been  
previously warned of rapes, etc."
1991,fear,"At the tender age of eleven a friend and I left a party and  
proceeded to walk through dark and secluded streets of a bad  
neighborhood to find a telephone (recent spate of Horror Movie  
watching had occurred)."
1998,fear,Having my luggage checked at Customs.
2005,fear,When I was bringing in the shopping and nearly stood on a snake.
2012,fear,When I was caught in an elevator and it got stuck between floors.
2019,fear,"When somebody broke into our home one night when my mother was  
out, and my sister and I had just gone to bed."
2028,fear,"I was seven years old and swimming outside the flags at the Gold  
Coast. I was caught in a rip and taken out about 100 m. I  
couldn't swim too well, but an older friend (17) swam out and  
saved me."
2038,fear,Walking in the dark by myself.
2045,fear,Every time I see a spider or a snake.
2052,fear,Left alone in dark when young.
2062,fear,When I dreamed that I was being attacked by a friend.
2069,fear,"I felt fear when once I was asleep and dreamed that I was dying  
asfixiated by a cardiac attack, I was afraid and woke up  
desperate. Altough I wasn't afraid of death I was afraid."
2076,fear,"When I almost drowned myself in the municipal swimming pool that  
I use to go almost not excaping."
2083,fear,When I got in jungle where there was a great number of snakes.
2096,fear,"When I was to sit for my first entrance exam. I had fear of a  
possible failure."
2103,fear,When I come home late at night.
2110,fear,I was bitten by a dog.
2117,fear,A grenade blew out next to me.
2125,fear,"When in a car accident where car was total wipe off (wipe out, or  
write off)."
2132,fear,Introducing myself at a first tutorial this year at University.
2139,fear,"As a child - stepping on a rusty nail - being told that I might  
get tetanus."
2146,fear,"One night going downstairs, and hearing a strong stirring of  
brances, which was not the wind."
2153,fear,"On embarking on University life. I came from a different city and  
did not know anybody at the Uni. I was frightened because my well  
known and loved friends, also all my security had been taken  
away."
2160,fear,"Before Uni started, I had to leave home and take up residence in  
Brisbane (the ""big smoke"") leaving home, my family, and moving to  
such a big place was quite intimidating at first, and I was  
anxious about it."
2167,fear,"Attempted rape by 5 guys - held my arms behind my back and  
molested me, constantly threatening to beat me. Penetration did  
not occur as the driver of the car stopped that."
2174,fear,Not included on questionnaire.
2181,fear,"Finding myself alone in a public toilet block with a man known to  
have had great psychological disturbances."
2188,fear,"When going for my driver's licence for the third time, because  
everything, it seemed, hinged on getting it. I was really nervous,  
and the testing Officer made me a little afraid as well. There  
were lots of things to worry about. I passed however."
2195,fear,"One night, when I got out from the University I saw two strange  
people near my car. When I got near, they moved away, and then  
came close again. I had a feeling that they were assaulters.  
After I left I discovered that the windshield was broken."
2202,fear,"One night I and my friends went to the cemetery. We stopped the  
car in front of the wall and suddenly the grave digger appeared  
over the wall looking like a ghost. I was already afraid and  
almost died."
2209,fear,"Crossing a street of several ways the cars began to move and I  
thought that I was going to be trampled."
2216,fear,Fear of thief.
2223,fear,"I was inside the car with my husband and we were assaulted with a  
gun at 10 o'clock in the evening."
2230,fear,"When I was looking for a job I felt a lot of fear but the fear  
was greater when I found it."
2237,fear,"I felt afraid when I smoked maryhuana for the first time in my  
life with a lot of friends in the middle of the street at day  
brake."
2244,fear,When there is danger nearby.
2251,fear,"When I was curious about it and went to a spiritism session with a  
friend. I had already been there other times (many times when I  
was younger) but that day, even if I don't believe in  
spiritism I was terribly afraid that something would happen to me  
(sort of incorporation !)."
2258,fear,"Afraid of getting alone without friends, without anybody."
2265,fear,"I feel afraid of the way a great friend looks at me, and also a  
little afraid of the directions that it's going."
2272,fear,"I have been afraid several times. What marked me was that I  
almost didn't enter University."
2279,fear,"The same fact about the girl (22 years, married - guilt -  
disgust), the fear was the main factor in our relationship."
2286,fear,"I was visiting my parents in law when the house was invaded by  
three strange men, and they committed an armed assault."
2289,fear,"When I left a carnaval ball at 4 o'clock a.m. I was alone in a  
foreign city and I had to go back home, when a guy appeared and  
tried to ""catch me""."
2296,fear,"After some time of work I was transferred to another place and in  
an other quite harder job."
2303,fear,"I was at home alone, and heard noises on the roof, and doorknobs,  
and drawers."
2310,fear,"I remember when I was a child of a storm that made me terribly  
afraid. I thought that the house was coming down and that in the  
next day I would be dead. Everybody was awake and I stayed all  
night in bed without falling asleep."
2317,fear,"I had a driver licence but I didn't drive for a long time, than I  
started to drive again, and had to get into hard transit and  
highways."
2324,fear,"When I was dreaming that I was being chased, in the upmost of  
horror the door of the closed felt down synchronicaly with the  
dream scare."
2331,fear,"When I woke up in the middle of the night because of a dream, it  
wasn't a nightmare, it was an uninteligible dream in wich I woke  
because of a certain end."
2338,fear,"I was walking from my friend's house, a few blocks from my house, when a  
car began to follow me. He waited I passed by it rotateed a little and  
stopped on my way. I changed completely my way and the car went  
on following me until I turned at a corner and running I hid in a  
garden of a house, waiting for the car to pass by. I went back home  
terribly afraid."
2345,fear,"I felt afraid of losing somebody I love to another person because  
I was an incomprehensive person and lots of time I fight with  
this person."
2352,fear,When I was just to be divorced.
2354,fear,A terrible fight that I provoked with my friend.
2361,fear,"When a friend of mine discussed with me, I felt fear of losing  
her. This occurred because we had a missunderstanding between  
mutual colleagues."
2368,fear,"When my father died I felt myself alone and the fear possessed me.  
I was a child and all my sisters and brothers (8) were young."
2374,fear,"I was sitting on the bus coming back from school. A man from  
nearly forty years sat beside me. After a while I looked at him  
and saw that he was looking at me with opened throusers and  
holding his penis."
2381,fear,"Once when I crossed the street, and was nearly trampled by a car."
2388,fear,"Passing (by car) over a bridge where only one car could pass. There  
was a precipice on both sides, no protection grilles, and the  
bridge was completely muddled."
2395,fear,"The day that there was a black-out in the city, and I was in an  
exposition, I felt fear that something more serious was  
happening, like a revolution for example."
2402,fear,"The week before I entered to army, when we were being selected.  
During 5 days I had to pass 10 hours a day waiting for the  
answer, which at last was the worst. The fear of being convoked,  
of hearing the fated phrase, was constant."
2409,fear,"One day, when I realized that I was alone, I felt fear of  
loneliness."
2416,fear,When I saw a horror film.
2423,fear,"I had an important amount of money with me and felt fear of being  
assaulted."
2430,fear,"I felt fear some months ago of losing the person whom I loved  
when she said to me that she didn't love me."
2437,fear,"I was in a train where a fight occurred. One person who was there  
opened his handbag and took out a gun, another who fought too  
looked among his things for a weapon to fight."
2444,fear,"One day I was near home, kissing my boyfriend in a car when my  
mother appeared and asked me to go home, because she didn't know  
about the event."
2451,fear,When I had to talk with an important person about a job.
2458,fear,"I received a phone call from a high school friend whose younger  
sister studied with me at the University and gave me a lift every  
moning. She was going to get married to a guy whom I knew too and  
who had died when he fell from a building, I was afraid to lose  
somebody since I had already lost a brother in an accident."
2465,fear,"I was alone at home, a man forced the front door which was  
locked, forced and tried to open a window."
2472,fear,"I should have given a test lesson to get a job. I had no courage.  
I didn't make the test."
2479,fear,"I was in the dark room, it's insecure and has holes covered with  
wooden sheets in the roof the establishment had already been  
assaulted and could be assaulted again."
2486,fear,"I'm afraid of driving on the special seat of a mororcycle, mainly  
with certain colleagues who by exces of self-confidence drive  
beyond limits or measure in the traffic and the main victim is  
always the person who sits behind the driver."
2493,fear,That someone would discover whom I really love.
2500,fear,"When there was a fight at home and my father threatened to throw  
a chair on my brother."
2507,fear,"I was with a friend in a stationed car when, suddenly a man  
appeared on my side and an other with a gun on his side the  
hold-up lasted a few minutes but it was terrible. I had never  
seen a gun so close."
2514,fear,"When I and the person mentioned above had a suspicion of  
pregnancy."
2521,fear,"Practicing wind-surf my body was caught under the sail. On trying  
to get out my leg was caught in the lashing. I was afraid of  
dying by asphixia."
2528,fear,"Motorcyclistic accident where for some minutes I didn't know if I  
was alive or dead, I remained ""cold levered"" during the situation  
but felt great fear."
2531,fear,When I whatched a horror film on a Friday 13th.
2538,fear,"There was a scene of shooting in front of my house, I was very  
afraid. Two armed men confronting. I didn't discover the reason  
of the incident."
2545,fear,When I sit for examinations.
2552,fear,I am afraid if I'll finish the term.
2559,fear,I could have been killed by a falling object.
2567,fear,"I feel fear when I only imagine I could lose confidence in my own  
abilities and powers. A similar feeling I feel sometimes before  
an exam."
2574,fear,"Late one night I was pursued by gipsies who had no good  
intentions."
2581,fear,"I was crossing the street together with some colleagues of mine  
when I suddenly found myself almost under the wheels of a truck."
2588,fear,"I woke up in the middle of the night of a nightmare, I was alone,  
it was very quiet and very dark."
2599,fear,"When I was ringing up a guy who was my teen idol, and was in  
Auckland. I was really scared, I didn't know what to say or do."
2609,fear,When I nearly caused a traffic accident with my car.
2616,fear,"Walking at friday night through Nijmegen, going to a pub or a  
disco."
2621,fear,I felt fear when my mother was heavily ill.
2628,fear,I felt it at the same time when I felt disgust.
2635,fear,"I experienced this feeling when the doctors found a nodule in one  
of my mother's breasts. It turned out to be an occlusion  
resulting from continious sucking but for a few days I was not in my  
reason."
2642,fear,"I was to be given an audition to get a role. I had a competitress  
and I wasn't well prepared because I was ill."
2649,fear,"Once I was alone at home. I suddenly felt unwell and there was no  
one to help me and call First Aid."
2651,fear,"When diving deep into the sea to reach the floor I felt  
breathless. I was cautious but I doubted I should be able to come  
to the surface and inhale."
2658,fear,"One fears many things, for example one fears going to the  
dentist. but as far as I am concerned this feeling is connected  
with the examination session."
2667,fear,Having a car accident.
2674,fear,"I experienced it once when we were on a drive. Our car passed by  
the one comming from the opposite direction at an incredibly  
small distance."
2681,fear,I felt it when I sat for my exam in anatomy.
2688,fear,"A friend of mine gave birth to a child. Very dangerous delivery.  
I was afraid for her and for the baby."
2695,fear,"Few years ago my father was very ill. He stayed at a hospital for  
a long time. Then I experienced that terrible feeling that I  
might lose him."
2702,fear,"In the real sense of the word I experienced fear in my first  
months in the army. During my first night of duty. The cause for  
all this was a bear. I became panic sticken (may be for the first  
time) and even forgot that I had a gun."
2709,fear,Can think of no time that I have felt fear.
2716,fear,"I was in the Korean War. We were attacked with mortars, me and  
companion. We stopped the jeep and ran for cover. Fortunately  
neither of us was hit but we both came close to being killed."
2723,fear,"While tramping on a narrow path two of us were confronted by a  
woman with two snarling dogs, demanding we get off the property -  
via a flooded river !"
2730,fear,"I was attacked, standing in a doorway, by a pack of 5 dogs,  
alsatians and farm dogs with my escape route blocked by a shut  
fence."
2737,fear,When confronted and in my opinion hassled by the police.
2742,fear,"When, for example, my grandfather fell seriously ill. It was  
necessary for him to be operated and I felt great fear of losing  
him because he is so dear to me."
2749,fear,The last time I felt it was when I was coming home late at night.
2756,fear,"Fear of the loss of a close friend, of feeling the ground slipping  
from under my feet."
2763,fear,If a close relative's life is in danger.
2770,fear,Before an examination.
2777,fear,"I felt a physical fear, if I can call it this way, today, in the bus where  
I was sitting on the first seat. While turning the driver didn't  
see the tram which was making a dash towards us (coming from the  
side I was), and whose driver intended to cross in yellow  
light."
2784,fear,"This feeling I sensed quite recently. It was arisen by the  
terrific thought that I might lose the man I loved !"
2791,fear,"I had to have my tonsils out. I had been making up my mind almost  
for a year - I was afraid. But during the two hours in the  
hospital room, while I was waiting to be called for the operation I  
felt a real fear - of the pain, of what they were going to do to  
me, of the unknown."
2798,fear,"I felt this feeling when one day my landlord's cat had crept  
under my bed and I couldn't cope with it during an hour and a  
half."
2805,fear,"One evening I was watching the news on TV. Again they were  
talking about the danger of war. Suddenly I imagined what it  
might mean for me, for my friends, for the people close to me. I  
felt it a very near and possible event."
2812,fear,"I broke my knee when I was skiing over ""Yastrebetz"" (a racing  
track in a Bulgarian winter resort)."
2819,fear,"I felt fear once, when the car in which I travelled directed  
towards the precipice along the road."
2826,fear,When I broke my leg I felt fear.
2833,fear,"In a dam lake, when the water was let flow to water the plants  
and I and two other boys were near the water pit. We rescued  
ourselves only thanks to the flippers and the tyre that was with  
us."
2840,fear,"I was alone in my room at the boarding house when at 12 o'clock  
someone knocked violently on the door."
2847,fear,I was going to knock down a pedestrian with my car.
2854,fear,"The night before my wife had given birth to our twins. I felt  
fear in the hospital yard, I feared if everything was going to be  
in order."
2861,fear,"A fear from the loss of a close friend as a result of his  
behavior."
2868,fear,"I felt fear when I sat for one of my exams. Though my fear was  
not quite justifiable, I still remember about it."
2870,fear,A fear of lack of personal powers.
2877,fear,"Because of a conflict with my parents there was a possibility to  
interrupt my studies."
2884,fear,Before an exam in logics.
2891,fear,"I bet that I would jump down from a window. I was sure that I  
would jump but before I did it I rather felt fear."
2898,fear,I had a car accident.
2905,fear,Before going to the dentist.
2912,fear,"When I have to go in for an exam and the examinor is a person  
with a whimsical character and unsteady requirements."
2919,fear,I am afraid before an exam or colloquium.
2926,fear,"One evening a friend of mine was telling a fearful story, nobody  
took it seriously but I got frightened."
2933,fear,"Few days ago I really experienced fear. It was connected with  
unexpected actions on the part of a group of people. This evoked  
in me many negative emotions."
2940,fear,"I was a bit frightened when it was found that there was something  
wrong with my liver. However it turned out that it was not  
serious and I need not worry."
2947,fear,"Fear overwhelmed me when right against the car I was in I saw  
another one, as if out of control of the driver."
2954,fear,"Two years ago I saw a film on the TV. Even now it makes me  
afraid."
2961,fear,"I felt something close to that when I saw that there was a man on  
the terrace of the flat."
2968,fear,"I was at the seaside and my brother disappeared for a couple of  
hours."
2973,fear,"Once as a child I dreamed of a fire. Since that time I hadn't  
wanted to sleep in that bed and had feared the night darkness  
(and so it is now)."
2980,fear,"I was walking on the pavement when a white car rolled on it and  
directed towards me. I was quite near the house wall when it  
rolled by and hit me."
2987,fear,I had worries about a certain illness.
2994,fear,"This was what I felt when my boyfriend went to Bourgas to study  
there. I had the feeling I would lose him. Anyway the distance  
Plovdiv-Bourgas seemed to me so great."
3001,fear,"Fear when fulfilling my obligations on my first night fatigue  
duty as a soldier."
3008,fear,"Fear from the unknown. I felt fear when I sat for the entrance  
examinations."
3015,fear,"Students fear many things but we seem to fear the examinations  
most of all. I remember I was horror stricken before my  
microbiology exam, because it was a decisive one."
3022,fear,I fear before each exam.
3029,fear,"It was not long ago when I and two of friends of mine got quite drunk  
and one of them began to rave under the influence of the alcohol.  
I felt fear of what could have happened."
3036,fear,"I felt fear when I fell down and broke my leg into pieces and I  
could not feel it at all."
3043,fear,"I feel fear quite often but this feeling was very strong last  
year when my husband was quite unexpectedly sent to the hospital."
3050,fear,"It was some years ago when one evening some people came home and  
told us my father was badly injured in an accident."
3057,fear,When I failed my first exam at the Higher Institute.
3064,fear,"I was terrified during an axcursion in Italy. I was lost and left  
alone in this unfamiliar country."
3071,fear,When I first sat for an entrance examination.
3078,fear,Watching a horror movie with friends.
3085,fear,"Walking home at night after university - part of the way, there  
are ano lights and I am walking down a thoroughfare with the  
thouth of no one hearing me if I have to scream."
3092,fear,"I had to tell someone that I was interested in remaining celibate  
and alone. And that my spiritual master strictly prohibited  
sexual relations outside of marriage. This caused great fear  
through lack of conviction afraid to hurt someone's feelings  
despite my own being hurt in the process."
3099,fear,"A Maori language oral test, yeaterday - Although I had studied  
intensely - once in the examiners room ""I blew it"" -  I was so  
nervous I couldn't reply easily - It was very important, but I  
got only blankness."
3106,fear,"A truck (big one) nearly mowed me off the road (I was driving a  
small Lazer)."
3113,fear,"When my mother entered surgery for a quadruple heart bypass. I  
felt intense fear at the time she was actually wheeled away."
3120,fear,"I caught a huge eel on a fishing line which I had pulled into the  
boat. I cut the line and threw the whole lot back into the water.  
Later that day and about ten miles away I went swimming and  
someone made the comment wondering how far eels could swim, I  
abruptly ended swimming for fear at an unseen eel for a few days  
until we had left the district."
3123,fear,"After I had managed to fail my first year at University I was  
scared as to what I was going to do with my future. I didn't want  
a mundane 9-5 job and yet I didn't know if I could pay my way  
through an unsubsidized year at university to settle down and  
continue my studies."
3130,fear,"My mother did not come home till late at night (Ages ago). Anyway  
if I don't know where my parents are and when they'll be back I  
start thinking that perhaps they have had an accident and are  
perhaps dead."
3137,fear,"When I was in a car with my parents and friends and we had to  
back up (reverse) pass a river which when I recall it (I was only  
about 5 yrs) seemed we were going to fall in and drown."
3144,fear,"I had this experience of fear when few people were fighting at a  
social one night, which one of my relative was involved. My fear  
was greatly for him because he was being assaulted badly."
3151,fear,Had fear of losing husband.
3158,fear,"That if ever I was really naughty I would be sent away from my  
Mum and Dad to another family. I was fostered from age 5 and  
didn't get to Mum and Dad until I was 6 and then legally adopted  
at 14."
3165,fear,When approached by a gang of youths in town at night.
3172,fear,"My daughter was 2 yrs she went up to a colt tried to hit it. It  
turned on her and kicked her over the heart, sent her flying  
through the air. I left my mother and sister to deal to her as  
they are nurses. I felt I didn't want to know if she was going to  
die, it was just too much."
3179,fear,"I walked up the main street of Auckland at 10 o'clock at night. I  
expected it to be very active with people, gangs, fast cars etc,  
thought it was actually quite quiet, though also oppressive. I  
walked about half a mile and bought a drink along the way."
3186,fear,"Being sexually assaulted (not rape, but passionate kissing) by a  
friend's father - he stopped when he was driving me home. I  
hadn't wanted the lift, had refused 3 times, and then felt it'd  
be rude to refuse again. Was really afraid of what he might do."
3195,fear,"Fear of punishment for having broken an item of value to my  
parents."
3202,fear,"Riding through a bush fire on an island of Australia - on a  
pushbike as a little boy - all alone, lost and surrounded by  
smouldering wood and flame."
3209,fear,"Waiting for a taxi - when within 1/2 an hour two separate people  
challenged me to fight for no apparent reason except they were  
drunk."
3216,fear,"When I decided to leave my steady, secure employment to come to  
university. Because I didn't know if I could cope with all the  
requirements of study and also being older I didn't know if I  
would enjoy mixing with younger people, also financial  
insecurity."
3223,fear,"Being harrassed for being gay; suggestions of being physically  
beaten - acting as informal bouncer in a gay bar."
3230,fear,Assaulted by drunken neighbour.
3237,fear,"I was watching a movie alone - it was a horror movie. The music  
was a deep pulsing type - not really music. And a light flashed  
on and off. It was in the complete darkness of a movie theatre  
that was almost empty."
3244,fear,"Being alone in Europe and having to catch a train and bus to the  
airport, then board the plane alone."
3251,fear,When I was jumped by three men in a deserted area.
3258,fear,Haven't been frightened for ages.
3265,fear,Obscene phone call where the person knew my name.
3272,fear,When I was attacked by a teenage boy and had my wallet stolen.
3279,fear,"As a result of breaking the indicator light as mentioned  
for guilt."
3286,fear,"Being driven by friend who suddenly swerved and skidded a little.  
It was night and on a long trip. We ended up on side of road."
3293,fear,"In a flat in Sydney - rough area at home on my own - the flat had  
been burgled the night before and no way of locking the door."
3300,fear,Watched a horror movie which involved sexual attacks on women.
3307,fear,Being alone at night.
3314,fear,"Stopped at lights in Mangere late one Friday night on way home  
from work. Alone in car when someone came up behind the car and  
started banging and shaking it. Light was red and had nowhere to  
go until light changed. When green I took off."
3321,fear,"To talk in a meeting - expound my thoughts on a subject. Fear  
delayed me acting to do this."
3328,fear,"Confronted outside a party by some very nasty character -  
gesturing to a car full of mean-acting friends - felt in danger."
3335,fear,"I was skiing alone and the mountain became covered with mist and  
I thought I was lost and was going to panic."
3342,fear,"When I had to give a speech about some historical event, to an  
audiece of about 200 people my own age whom I did not know."
3349,fear,"When riding in a very fastly-driven car on a lose metal road at a  
very late hour - no other cars on road, and driver was taking  
corners very sharply. I felt afraid - because if an accident  
happened, the area was very isolated. Also, I feared for driver,  
after I was dropped off - would he make it home safely."
3356,fear,"A friend (female) and I were on holiday on Great Barrier Island  
by ourselves. One night we were nearly raped by about 20 locals -  
they came to our bach and tried to break the doors down. All of  
them were stoned or drunk and we hid under the bunks and were  
totally terrified. Eventually these guys gave up and went looking  
for us on the beach. We escaped and slept in the bush for 2  
nights."
3363,fear,"Skiing down a very icy slope, very fast in white-out conditions.  
Out of control with no idea of what I was doing or where I was  
heading."
3370,fear,"When I was very young and we moved as a family to Auckland from  
Wellington, this meant new school and friends (etc.)."
3377,fear,"As a passenger in a vehicle travelling from the steep side of  
Arthur's Pass in the middle of a sleet-storm, icy roads, sheer  
chasms to one side, sheer face to the other."
3384,fear,"I imagined I heard footsteps up the hall while sleeping in bed  
one night by myself in the house."
3391,fear,Held under water by a large wave and thought I was drowning.
3398,fear,Mugged while on holiday in the U.S.A.
3405,fear,Canoeing across harbour in winds - 20 knots and rising seas.
3412,fear,"Almost crashing into the back of a car while driving along the  
motorway on my motorcycle."
3419,fear,"I went to see a movie and I went with a friend, it was really  
frightening and it made me stop and think about the world around  
me and what it is really like out there. I was frightened all  
that night."
3426,fear,"I was walking home one night (after getting a bus to my town)  
when I was confronted by a group of males (about 6), they would  
not let me pass - they made comments etc. - I crossed the road  
and hurried home."
3433,fear,"Thinking that I had been seen smoking at school by a teacher -  
waiting to be summoned to the headmaster's office."
3440,fear,"A large german shepherd dog ran and barked at me (he didn't bite  
fortunately)."
3447,fear,"I was hitchhiking and was picked up by a stranger he drove into  
the woods and wanted to make love with me, I refused and escaped  
from the car. When walking in the wood and hearing the car I was  
afraid."
3454,fear,"Sleeping alone in a tent, while hearing several noises such as  
rustling etc, I am afraid that there are people who are up to no  
good."
3461,fear,"At the age of 12 years I always had to take care of my little  
brother and sister I never could sleep then. I always imagined  
creepy men sneaking into our house."
3467,fear,"I have a fobic anxiety for elevators. This anxiety is worst at  
the moment when the doors have to open. I have it often in the  
elevator at our university."
3474,fear,"I was afraid when my first boyfriend threatened to make an end to  
our relationship because he didn't love me enough while I loved  
him very much."
3481,fear,When I was sitting in a car next to a man who was masturbating.
3488,fear,"When my cat ran under a car and came home wounded. He could  
hardly walk. I didn't dare to go to a veterinarian because I was  
afraid he would kill him."
3495,fear,"When I went out with my dog in a forest late at night when we  
were on a camping."
3497,fear,"When I entered the operation theatre and underwent a difficult  
operation."
3504,fear,On the scenic railway at the fairground.
3508,fear,"When I was a child, one day, I was going home late at night and I  
did not notice an uncovered man hole and fell in it.  I was in there for  
several minutes."
3515,fear,"I found myself involved in a fight in which a person died and I  
had to intervene with some risk."
3522,fear,Before I had a tooth pulled out.  I was very upset and ill.
3533,fear,"Together with a little brother I biked on a lonely road in the  
Polder. Then we were annoyed by a boy on a motorbike: he  
took over, stopped, took over, etc. Then we saw he had something  
in his hand, we turned until we came across a man, who  
accompanied us."
3540,fear,"My father was very angry with me, and I locked me up in the  
shower. Then my father knocked his fist through the door, I was  
scared to death."
3547,fear,"I am thinking about death, the eternal of it, the unknown, the  
sense of being here. Often, laying in bed in the dark and quiet,  
the fear makes me feel dizzy."
3554,fear,"When the relationship with my first girlfriend broke up and I  
realized it too late."
3561,fear,"I was walking in the wood at night with my boyfriend. Very  
romantic. Suddenly I heard a car driving very slowly with the  
lights out, it looked as if they were looking for something."
3568,fear,"Once sitting in the cinema, I became very anxious (watching a  
""cold"" film). I do not know the reason."
3575,fear,"On a holiday in France I made a walk in the woods all alone and  
very relaxed. Then a motorbike took me over and I saw the man  
watching all the time. Suddenly the man stood behing me and I ran  
away fast."
3582,fear,"I went to the ballet lessons with a little friend in the dark. On  
a very quiet place a boy approached us from behind and asked at  
what time the lesson would be finished. I gave him an avoiding  
answer, he took me up and wanted to run away with me."
3589,fear,"When I had left my home, my father, under false pretences, got me  
in his car and drove home where we were all alone. He was seethed  
with rage because I withrew from his authority. He hit me, kicked  
me and threatened me."
3596,fear,"When I was six years old we were on holiday in France. There was  
very heavy weather then."
3603,fear,Fear to come and live in Nijmegen.
3610,fear,"Just before I started my study I had to move, I was very afraid  
to be left alone and that I could not manage it."
3617,fear,"In college, I started a discussion with the teacher referring to  
a question I posed. I felt very unsure and I was afraid to fail."
3624,fear,"I was walking alone in the street late at night (2.30 am). It was  
very quiet. Then a man approached me and said ""Hello""."
3634,fear,"One night at three o'clock I was followed by a cardriver, who  
tried to molest me."
3641,fear,"I had a dream about my fiancTe leaving me and making an end to  
our relation."
3648,fear,I was raped by a friend.
3656,fear,"Once, late at night, I was biking home and overtook a man. He  
said to me ""Hello darling"" I was terrified and imagined the  
wildest scenes."
3663,fear,"As a child I suffered of nightmares. Even since than, I have  
never been so anxious and fearful."
3670,fear,"When my father suffered with dizziness. He had to be  
hospitalized, because the physician didn't know what was wrong.  
Because his stools were black, I thought it could be cancer."
3677,fear,"I lived in a student-house, where you shared the lavatory and  
shower with a fellow student. the shower cubicle formed the  
connection between both appartments. My neighbour very often was  
drunk and aggressive. One night, I was afraid that he would enter  
my room."
3683,fear,When armed robbers broke into our house at night.
3690,fear,"When I had gone for a boxing tournament which ended at 2 o'clock  
in the morning.  I was alone on my way back, and I could hear the  
barking of the dogs, the nocturnal animals and the sound of my      
own footsteps.  There had been a rumour  circulating that there  
were ghosts in that area."
3696,fear,"I was in form five at the boarding school and my friends and I  
had gone drinknig beer in the nearby village.  And we were caught  
red handed there by a form master."
3703,fear,"A close relative of mine died in a serious car accident.  I was  
one of the first two people to see the corpse and I had to do it.  
 Before going in to see it I was afraid as it was the first time  
that I was seeing a corpse."
3710,fear,"Before one of my final exams of the third year - natural  
sciences."
3721,fear,I was sexually assaulted one night by a stranger.
3728,fear,"When a man rang the doorbell and wanted to enter the house with  
violence. I was alone at home that moment."
3735,fear,"I wanted to get in contact with a girl I loved, but I was afraid  
she would refuse me."
3742,fear,"Sitting alone in a quiet room, concetrating on things happening  
around you. Thoughts come into my mind which make me afraid."
3749,fear,"During a football game I made an offence towards an acquaintance.  
Later on this acquaintance also tackeled me and the game became  
very rude."
3756,fear,"When I stayed alone in a house in Great Brittain and there was a  
lot of rumour in the newspaper about a murderer still being free."
3763,fear,"The only event I can remember is having a nightmare when I was  
very young (3 years old) I dreamt about a machine which was going  
to crush me."
3776,fear,"Standing in a crowed shop or in a closed room with too much  
people in it. This gives me a fearful experience."
3783,fear,"I lived alone in a repulsive area in the city of Rotterdam. I was  
annoyed, heard a lot of Burglary and assaults. Especially in the evening  
and the night I frequently felt anxious."
3790,fear,"One night I had to bike home all alone after a party. Then I  
found out that I was pursued by a man in a car."
3797,fear,"Once late at night (around midnight) a person asked me to give  
him a lift. He suddenly tried to attack me but I could escape.  
After this he followed me for a little while."
3804,fear,When I thought the house was on fire at night.
3811,fear,"When a good friend of mine behaved in a very cool manner to me  
for a very long time."
3818,fear,When going out I am threatened regularly by two punk-girls.
3825,fear,"A terrible cloud-burst started when we were camping in a tent on  
a great bald field."
3832,fear,"The same situation as with sadness. I was afraid about what my  
parents would further do to distroy my relationship."
3841,fear,"When a good friend of me told me one evening that she didn't want  
to live anymore."
3848,fear,"When I walk through streets late at night. This is because I and  
my friends were attacked one night without any reason for it."
3855,fear,"I was living in rooms in a very lonely, quiet neigbourhood.  
During the night it was very silent and this frightened me. The  
fact of being alone in that house frightened me."
3862,fear,"I was raped once when I went through a dark alley at the back of  
our house. The man pushed me in the bushes. I fought back and  
succeeded to escape."
3869,fear,"When I slept for the first time all alone in the house where I  
live now. A man phoned me at 2.00 am. He wanted something from  
me. I was afraid."
3876,fear,"When a car ran into me. The moment that I felt on the street I  
thought ""This is my end, I am going to die""."
3883,fear,"When I slipped on a glazed frost road and a car almost ran into  
me."
3890,fear,"I had an appointment with a good friend. He came 3 hours later  
than we agreed upon. During the last hour of waiting I was afraid  
something might had happened, because usally he is in time."
3897,fear,"When I was 12 years old I frequently was pursued by others and  
got sound thrashes."
3904,fear,"When biking and I felt very bad (problems with heart and  
respiration)."
3911,fear,"I went to the apartment of my boyfriend and saw some people  
before his door. I thought that something had happened."
